at_distance_band,late_orders,late_days,handling_late_days,linehaul_late_days,linehaul_share,mean_handling_days,mean_linehaul_days,fallback_orders,baseline_handling,baseline_linehaul
00_unknown,51,523.3213425925926,37.014985344259074,486.3063572483335,0.9292691080381268,3.922650689905591,29.983582516339883,1,2.1033796296296297,8.281689814814815
01_0_200,1547,9207.183564814812,2865.2456674335726,6341.93789738125,0.6888032428957886,6.88421359141947,11.508563961909568,38,2.077986111111111,2.4890335648148145
02_200_500,2233,22714.41606481482,3081.549577844229,19632.866486970568,0.8643350738556891,5.672903895274578,26.23431916662522,7,2.133321759259259,6.734328703703704
03_500_1000,2163,21309.056944444426,3040.07892408485,18268.97802035958,0.8573339527877399,5.772741878349686,27.943207045898163,4,2.2009432870370373,8.146221064814815
04_1000_2000,1039,11381.67395833334,1452.796627950536,9928.877330382802,0.8723565063215643,5.395032906462773,32.90385037919295,1,2.275162037037037,11.68545138888889
05_2000_plus,759,9355.928020833342,933.3864734262526,8422.541547407083,0.9002358214655096,5.246648520226418,36.31337346898941,0,2.2549537037037037,13.858449074074073
