segment_type,segment,orders,observed,expected,raw_late_rate,smr,ci_lower,ci_upper,excess_late_orders,p_excess,q_excess,seller_tail
seller,06a2c3af7b3aee5d69171b0e14f0ee87,369,90.0,41.844030527994214,0.24390243902439024,2.1508444302417,1.7295329158764727,2.6437529653338876,48.155969472005786,7.356447582525242e-11,1.486002411670099e-08,True
seller,1f50f920176fa81dab994f9023523100,1373,148.0,113.67373606949586,0.10779315367807721,1.3019718108809089,1.1006660028987905,1.52943891454394,34.32626393050414,0.0011554122431914927,0.023339327312468152,True
seller,88460e8ebdecbfecb5f9601833981930,230,48.0,17.09318743936229,0.20869565217391303,2.808136292325756,2.070498024375705,3.7231813205051694,30.90681256063771,6.951339435388528e-10,7.020852829742413e-08,True
seller,8160255418d5aaa7dbdc9f4c64ebda44,367,62.0,39.51637455221493,0.16893732970027248,1.568969843579055,1.20292018245151,2.0113485302333047,22.483625447785073,0.0005661582891474246,0.012707108267531086,True
seller,e5a3438891c0bfdb9394643f95273d8e,213,40.0,18.0164951156247,0.18779342723004694,2.220187652664487,1.5861346093339812,3.023265436169461,21.9835048843753,5.448817511998222e-06,0.0003668870458078803,True
seller,1ca7077d890b907f89be8c954a02686a,108,24.0,8.563728238803613,0.2222222222222222,2.8025177038257927,1.7956259733943554,4.169924196326676,15.436271761196387,1.122079907193183e-05,0.0005666503531325574,True
seller,2eb70248d66e0e3ef83659f71b244378,186,26.0,11.159627487392253,0.13978494623655913,2.329826871853372,1.5219202643443366,3.4137361776783783,14.840372512607747,0.00010268058955435131,0.003456913181663161,True
seller,7aa4334be125fcdd2ba64b3180029f14,213,29.0,14.583501794806159,0.13615023474178403,1.9885484575678665,1.3317621111045426,2.8558872913102133,14.416498205193841,0.0005627737076085617,0.012707108267531086,True
seller,cd68562d3f44870c08922d380acae552,122,22.0,8.575984083966862,0.18032786885245902,2.565303268359588,1.607661900633127,3.8838999770762563,13.424015916033138,8.993183391778115e-05,0.003456913181663161,True
seller,dd7ddc04e1b6c2c614352b383efe2d36,116,19.0,7.406658255298256,0.16379310344827586,2.565259438885087,1.5444537563460308,4.00597037812038,11.593341744701744,0.0002604013590131953,0.007514439217237922,True
seller,8f2ce03f928b567e3d56181ae20ae952,150,23.0,11.509981861566432,0.15333333333333332,1.998265529574853,1.2667289325389461,2.9983794336002783,11.490018138433568,0.0018400869571200222,0.03379068775802223,True
