segment_type,segment,orders,observed,expected,raw_late_rate,smr,ci_lower,ci_upper,excess_late_orders,p_excess,q_excess,seller_tail
state,AL,393,93.0,45.30242661867278,0.2366412213740458,2.052870164832786,1.6569311696055995,2.514904642621779,47.69757338132722,3.6587962991154357e-10,,False
state,RJ,12210,1660.0,1002.2583576107548,0.13595413595413594,1.656259573586605,1.5775336929488848,1.737897152768526,657.7416423892452,1.9602308648827804e-80,,False
state,MA,704,141.0,92.26898040483634,0.2002840909090909,1.5281408701099009,1.286324467351541,1.8022083642156672,48.73101959516366,1.4750381698605666e-06,,False
state,ES,1968,242.0,173.38823124970418,0.12296747967479675,1.3957117980601863,1.2253890037121618,1.5830870577184086,68.61176875029582,4.998598728469817e-07,,False
state,BA,3210,452.0,338.1551398535588,0.14080996884735203,1.336664585952302,1.2162632845605577,1.465760365802038,113.84486014644119,2.195555114182717e-09,,False
state,SE,333,51.0,38.16910872333495,0.15315315315315314,1.336159048660751,0.9948581748013361,1.7568023886187545,12.83089127666505,0.02702062173467092,,False
state,MS,696,81.0,62.28000744691045,0.11637931034482758,1.3005778791700866,1.0328465687641208,1.6164995527007326,18.719992553089547,0.012932215175166071,,False
state,PI,469,76.0,59.24198595929516,0.16204690831556504,1.2828739409954821,1.0107587533881186,1.605708036673377,16.758014040704843,0.020373888999220095,,False
state,CE,1259,196.0,162.8890521559886,0.1556791104050834,1.2032730094856414,1.0407057886412239,1.3840339162950999,33.110947844011406,0.006405591565228047,,False
state,SC,3492,346.0,289.5432671396309,0.0990836197021764,1.1949854797802744,1.072374297676725,1.3277732820666148,56.45673286036907,0.0006876513178778253,,False
state,TO,270,35.0,30.182251826454333,0.12962962962962962,1.1596218930664073,0.8077191371503994,1.6127533375895682,4.817748173545667,0.21244138704348078,,False
state,GO,1921,158.0,169.79870634122005,0.08224882873503384,0.9305135675326649,0.7910779872178505,1.0874482668154895,-11.798706341220054,0.8270621060655073,,False
state,PA,936,115.0,124.35203166434842,0.12286324786324786,0.9247938972996319,0.7635122079655475,1.1100750166393663,-9.352031664348416,0.8106754215347485,,False
state,RR,40,5.0,5.6373148481100035,0.125,0.8869470900097636,0.2879893058771978,2.069838636604563,-0.6373148481100035,0.6634740126919482,,False
state,PE,1573,172.0,197.59483993121393,0.10934520025429116,0.8704680752790714,0.7452379132148285,1.010719718289369,-25.594839931213926,0.9704551190878765,,False
state,SP,39902,2376.0,2742.767831134527,0.059545887424189266,0.8662782073746227,0.8317925016573513,0.9018264717704229,-366.7678311345271,0.9999999999996396,,False
state,PB,509,56.0,65.44081519514559,0.1100196463654224,0.8557350612611881,0.6464130689155622,1.1112431559834752,-9.44081519514559,0.8926790909021981,,False
state,DF,2041,147.0,180.265741759774,0.0720235178833905,0.8154627638339367,0.6889692445909389,0.9584548066986243,-33.26574175977399,0.9951649475650296,,False
state,RS,5260,382.0,472.2655198025019,0.0726235741444867,0.8088670122683309,0.7297772331921134,0.8941907175820019,-90.2655198025019,0.9999920020204619,,False
state,RN,467,50.0,62.08127920793282,0.10706638115631692,0.8053957753114556,0.5977802682377682,1.0618139237039697,-12.081279207932823,0.9488558865250007,,False
state,MG,11186,634.0,929.5352336855545,0.0566779903450742,0.6820612893674034,0.6299957434932916,0.7372821768505,-295.53523368555454,1.0,,False
state,MT,871,60.0,91.58271809705496,0.06888633754305395,0.6551454384266568,0.49994498854560226,0.8433020444402696,-31.582718097054965,0.999818271831063,,False
state,PR,4842,245.0,388.58383392261317,0.05059892606361008,0.6304945770049507,0.554010599787356,0.7145864815777033,-143.58383392261317,0.9999999999999978,,False
state,AP,67,3.0,8.925842783012822,0.04477611940298507,0.3361027157804568,0.06931246022762405,0.9822347629097523,-5.925842783012822,0.9933862712168899,,False
state,AM,144,6.0,19.47997790101425,0.041666666666666664,0.3080085629710905,0.11303371413866985,0.6704049711390446,-13.479977901014252,0.9998931555218018,,False
state,AC,77,3.0,9.764568824985485,0.03896103896103896,0.3072332279868445,0.0633588777942298,0.8978658686196885,-6.764568824985485,0.9966426488300197,,False
state,RO,242,7.0,32.65266759269523,0.028925619834710745,0.21437758431614262,0.08619090748191949,0.4416997576311006,-25.65266759269523,0.9999999865065508,,False
