bin,lower,upper,orders,mean_prediction,observed_rate
0,0.0,0.1,14845,0.026058719480342787,0.04755810037049511
1,0.1,0.2,113,0.1427808029997806,0.09734513274336283
2,0.2,0.3,2456,0.21669186092934833,0.08957654723127036
3,0.3,0.4,96,0.31287522140784846,0.15625
4,0.4,0.5,304,0.43231398655028835,0.1611842105263158
5,0.5,0.6,0,,
6,0.6,0.7,0,,
7,0.7,0.8,0,,
8,0.8,0.9,0,,
9,0.9,1.0,17,1.0,0.23529411764705882
