at_distance_band,baseline_handling,baseline_linehaul
03_500_1000,2.2009432870370373,8.146221064814815
02_200_500,2.133321759259259,6.734328703703704
01_0_200,2.077986111111111,2.4890335648148145
05_2000_plus,2.2549537037037037,13.858449074074073
04_1000_2000,2.275162037037037,11.68545138888889
00_unknown,2.1033796296296297,8.281689814814815
