C,roc_auc,pr_auc,brier,log_loss,pr_auc_floor
0.001,0.6532466668984603,0.32929814827705073,0.18058248996881082,0.581459036119222,0.21289676865885043
0.01,0.6853517987494121,0.3805884416990489,0.18449879343957623,0.6217418658987727,0.21289676865885043
0.1,0.6858147761147597,0.38000119005041777,0.19378988546209566,0.7151604345142866,0.21289676865885043
1.0,0.6819040508384526,0.37247697452165396,0.1987825584876373,0.7833225933311353,0.21289676865885043
10.0,0.6804720539176485,0.3703358301565156,0.19970949348198308,0.7994504773310117,0.21289676865885043
