calibration,model,roc_auc,pr_auc,brier,log_loss,pr_auc_floor,ece_10_bins
uncalibrated,regularised_logistic,0.6995243679380347,0.10494920837192574,0.0528560501756531,0.20684754254719578,0.056362514721552355,0.015576525183161993
isotonic,regularised_logistic,0.6948842498549685,0.09895299684724271,0.05645730672370835,0.23229368772505865,0.056362514721552355,0.041890372029735126
