model,roc_auc,pr_auc,brier,log_loss,pr_auc_floor
majority_never_late,0.5,0.056362514721552355,0.056362514721552355,0.7786778608469805,0.056362514721552355
base_rate_constant,0.5,0.056362514721552355,0.053197134463476896,0.21694216552421441,0.056362514721552355
distance_logistic,0.36971815119103163,0.04968512392287315,0.05387616213670196,0.22328834724369032,0.056362514721552355
full_logistic,0.6192715254110998,0.089460530385783,0.05410241610373876,0.24452833400944968,0.056362514721552355
regularised_logistic,0.6995243679380347,0.10494920837192574,0.0528560501756531,0.20684754254719578,0.056362514721552355
lightgbm,0.6270223233056162,0.07516819001709693,0.054083620044523086,0.2305183388426369,0.056362514721552355
leaky_negative_control,0.9798389486065453,0.8392114696609325,0.023844853033211894,0.10881207283730983,0.056362514721552355
