segment_type,segment,orders,observed,expected,raw_late_rate,smr,ci_lower,ci_upper,excess_late_orders,p_excess,q_excess,seller_tail
route,BA->AC,1,1.0,0.07109512688141657,1.0,14.065661654531603,0.35611172094142013,78.36885079665369,0.9289048731185834,0.06862671072304113,,False
route,MA->SE,5,3.0,0.3196446841059392,0.6,9.385421216658544,1.9354994894598532,27.428183560332894,2.6803553158940607,0.004291242454088741,,False
route,MA->PI,3,1.0,0.12179627800398915,0.3333333333333333,8.21043152047099,0.2078701287034457,45.7455965177886,0.8782037219960108,0.11467128893572623,,False
route,MA->TO,2,1.0,0.12879174473356952,0.5,7.764472808942003,0.19657943167603348,43.26087361006649,0.8712082552664304,0.12084296443505049,,False
route,MA->AL,3,3.0,0.40200092449418484,1.0,7.462669404988885,1.5389818410841758,21.809086834249673,2.597999075505815,0.008034062302471027,,False
route,MA->MA,13,6.0,0.8849643366628824,0.46153846153846156,6.779934231728973,2.488116370648322,14.757062495608285,5.1150356633371175,0.00031442792905918515,,False
route,MS->MT,2,1.0,0.14812393598453152,0.5,6.751103347027109,0.17092313822212904,37.61474034500907,0.8518760640154684,0.1376757646840229,,False
route,CE->AM,1,1.0,0.1546051450062499,1.0,6.468090049393733,0.16375786189564653,36.03789117570224,0.8453948549937501,0.14324659593600086,,False
route,PB->AL,1,1.0,0.18369623595301177,1.0,5.443769682116911,0.1378243155225347,30.330743371160235,0.8163037640469882,0.16781144560039857,,False
route,DF->TO,5,2.0,0.3792976099449355,0.4,5.272904304064426,0.6385731736594062,19.047543349331423,1.6207023900550646,0.05608883170797614,,False
route,MS->BA,3,2.0,0.4050936168615286,0.6666666666666666,4.937130373702361,0.5979093929459727,17.83461246241642,1.5949063831384713,0.06292287079439986,,False
route,ES->ES,7,2.0,0.4196190398137988,0.2857142857142857,4.766227959740524,0.5772123177524133,17.217254181149247,1.5803809601862011,0.06688841388079868,,False
route,MA->PA,5,1.0,0.21881436607940358,0.2,4.570083847406614,0.11570450532074537,25.46287746443967,0.7811856339205965,0.19652914424426177,,False
route,AM->MA,1,1.0,0.23039071573585868,1.0,4.340452681897533,0.10989074756517778,24.183454498777404,0.7696092842641413,0.2057767736394626,,False
route,AM->AL,1,1.0,0.23708854915887118,1.0,4.217833394095756,0.10678629598144199,23.500263554294996,0.7629114508411288,0.21107857340417022,,False
route,PE->PI,8,2.0,0.49462407050338475,0.25,4.043474871662789,0.48968356573804783,14.606421520026936,1.5053759294966151,0.08857808328835942,,False
route,MA->ES,13,7.0,1.8541679857110605,0.5384615384615384,3.775278213163382,1.5178576446192802,7.778516009794755,5.145832014288939,0.003019903424696159,,False
route,MA->GO,15,6.0,1.6067342111598557,0.4,3.7342828442476312,1.370415989276388,8.127961632864855,4.393265788840145,0.006159948337898559,,False
route,MA->BA,10,4.0,1.0953628037454965,0.4,3.65175810820155,0.9949811787470109,9.349951121567653,2.9046371962545035,0.025400767853519333,,False
route,CE->PA,3,1.0,0.2804428062634161,0.3333333333333333,3.565789450347725,0.09027797261631024,19.867307224509545,0.7195571937365839,0.24455085023366413,,False
route,MA->MT,4,1.0,0.2978963785798124,0.25,3.3568719591939584,0.08498863969071961,18.70329346567113,0.7021036214201877,0.25762173794786336,,False
route,DF->RN,6,2.0,0.612684122016453,0.3333333333333333,3.264324842330894,0.3953248824970541,11.791863715916485,1.387315877983547,0.1260954979197774,,False
route,DF->PI,8,2.0,0.643478346248339,0.25,3.108107695714341,0.37640626130795807,11.227553669592668,1.3565216537516611,0.136415395484865,,False
route,RN->CE,3,1.0,0.3640847177521216,0.3333333333333333,2.7466134974685374,0.06953823313596728,15.303150940634149,0.6359152822478784,0.3051676723834966,,False
route,MA->PR,9,3.0,1.0948037457194122,0.3333333333333333,2.740217150087164,0.5650986538131202,8.008077341735085,1.9051962542805878,0.09853948963312288,,False
route,BA->RN,9,2.0,0.7369751239042044,0.2222222222222222,2.713795805487689,0.32865326208140583,9.80316354431396,1.2630248760957956,0.16875438153578692,,False
route,RN->RS,4,2.0,0.7477768351385111,0.5,2.674594753432739,0.32390583281320884,9.661555865642358,1.2522231648614888,0.17257121407599327,,False
route,DF->CE,14,4.0,1.52297910322039,0.2857142857142857,2.6264313092293037,0.7156141350342682,6.724707288332134,2.47702089677961,0.06855962896669641,,False
route,RN->BA,4,1.0,0.3835794396472246,0.25,2.607021901173048,0.06600407990473758,14.525396345703776,0.6164205603527755,0.31858205570250475,,False
route,DF->PB,8,2.0,0.8122646869130936,0.25,2.4622515692523086,0.2981900880911737,8.894499273605561,1.1877353130869064,0.19562316189890525,,False
route,CE->PE,7,2.0,0.8141050457437214,0.2857142857142857,2.456685424634496,0.29751600215509777,8.87439244541702,1.1858949542562787,0.19628679800649831,,False
route,DF->ES,18,4.0,1.6593497434238307,0.2222222222222222,2.4105828297213416,0.6568026890928633,6.172049452499171,2.3406502565761693,0.08720392787712096,,False
route,DF->SE,3,1.0,0.4148716826505173,0.3333333333333333,2.4103838411222376,0.06102563525796789,13.429799198014631,0.5851283173494827,0.3395749807438436,,False
route,ES->PA,3,1.0,0.4185081898471396,0.3333333333333333,2.389439500252673,0.06049537045747473,13.313104799631148,0.5814918101528603,0.34197225957649674,,False
route,MT->PE,6,3.0,1.259364848012625,0.5,2.3821531978871984,0.49125725866647285,6.96166252661233,1.740635151987375,0.13363434683596895,,False
route,MT->CE,2,1.0,0.4223772579207584,0.5,2.367551711762873,0.059941219631289226,13.191153847549685,0.5776227420792416,0.3445132948095035,,False
route,SP->AL,253,66.0,28.549102081508956,0.2608695652173913,2.3118065083646786,1.7879509860908154,2.941184707062727,37.450897918491044,1.487161865081826e-09,,False
route,RN->PR,4,1.0,0.43889159089876983,0.25,2.278466985325881,0.057685789633024474,12.69480552026342,0.5611084091012302,0.3552493273178456,,False
route,PE->SC,9,3.0,1.3331564267251508,0.3333333333333333,2.2502985695154982,0.4640656643836961,6.576327349130967,1.6668435732748492,0.15058999494884726,,False
route,PR->AL,35,13.0,5.928441771391196,0.37142857142857144,2.192819041039406,1.1675837864187142,3.749787343014113,7.071558228608804,0.00804980041926208,,False
route,CE->PI,3,1.0,0.4701282863233297,0.3333333333333333,2.1270789890575785,0.053852977412377205,11.851325591387651,0.5298717136766703,0.3750779058176396,,False
route,MA->DF,27,5.0,2.4318360404267634,0.18518518518518517,2.0560596672144675,0.6675969773988195,4.798157394392014,2.5681639595732366,0.09990329759542435,,False
route,MA->SP,117,31.0,15.360872914674546,0.26495726495726496,2.018114476449127,1.3712108742869655,2.8645524084254843,15.639127085325454,0.00029311590554588577,,False
route,BA->PI,9,1.0,0.5066688159534312,0.1111111111111111,1.9736758381670598,0.049969145893946,10.99661793957929,0.49333118404656884,0.3975007244070672,,False
route,SP->RJ,8061,1260.0,661.2998839397279,0.15630815035355414,1.9053383050568307,1.8015731617233992,2.013521719402921,598.7001160602721,4.1722800218858965e-95,,False
route,RJ->AL,13,2.0,1.0567791469969314,0.15384615384615385,1.892543021579709,0.22919573993511846,6.836516114321982,0.9432208530030686,0.2851180884824441,,False
route,DF->SC,21,4.0,2.1575644978836204,0.19047619047619047,1.853942259396484,0.5051368683046955,4.7468285121718425,1.8424355021163796,0.17236871887353847,,False
route,MA->SC,18,4.0,2.2174946134544324,0.2222222222222222,1.803837527149058,0.49148501512187354,4.6185404975795,1.7825053865455676,0.18409855269490907,,False
route,RS->MA,13,4.0,2.2397915331797416,0.3076923076923077,1.7858804896549285,0.4865923267774332,4.57256334961858,1.7602084668202584,0.1885277337612911,,False
route,BA->PB,9,1.0,0.5602979777197706,0.1111111111111111,1.7847646069858625,0.04518632761682465,9.944071926894441,0.43970202228022937,0.4289611183690292,,False
route,SC->CE,21,6.0,3.4384510687106813,0.2857142857142857,1.744971756207025,0.6403738804160144,3.798068886702409,2.5615489312893187,0.13436003757161266,,False
route,RJ->SE,18,3.0,1.769049870337168,0.16666666666666666,1.6958255673302314,0.3497200012669439,4.955921942478278,1.230950129662832,0.26110601448022935,,False
route,MA->MG,31,5.0,3.008509869861482,0.16129032258064516,1.661952333973965,0.5396313990464553,3.8784423465627205,1.991490130138518,0.1861687027685203,,False
route,SP->ES,1443,206.0,125.10425160863159,0.14275814275814275,1.6466266921482227,1.4294319633130528,1.8874966353999425,80.89574839136841,2.2691676699211383e-11,,False
route,SP->MS,472,69.0,41.93839365523246,0.1461864406779661,1.645270454735006,1.2801186187098192,2.0821950600425603,27.06160634476754,7.913194481372151e-05,,False
route,MA->CE,7,1.0,0.6176297309635687,0.14285714285714285,1.6190930421045189,0.040991886748701974,9.021009047356799,0.38237026903643134,0.4607789770338585,,False
route,RJ->CE,54,12.0,7.412842058090765,0.2222222222222222,1.6188123132749834,0.8364639446154912,2.827739331812471,4.587157941909235,0.07424433376080934,,False
route,MG->AL,35,6.0,3.7122833409063984,0.17142857142857143,1.6162559398106255,0.5931374443399118,3.5179087432830647,2.2877166590936016,0.171670388890941,,False
route,PA->SP,6,1.0,0.6230718361460947,0.16666666666666666,1.6049513747649558,0.04063385073042121,8.942216719987464,0.37692816385390526,0.4637055041006219,,False
route,SP->MA,480,104.0,65.03823218844298,0.21666666666666667,1.599059453194676,1.3065474483365533,1.9375281700445328,38.961767811557024,5.257782372944604e-06,,False
route,BA->CE,14,2.0,1.293471286304433,0.14285714285714285,1.5462268248058175,0.18725524185077141,5.5855029363392825,0.7065287136955669,0.37086207577693214,,False
route,PR->MA,41,8.0,5.192906640561845,0.1951219512195122,1.5405630321777635,0.6651057713555997,3.035523322731606,2.807093359438155,0.15428118759557602,,False
route,GO->PE,10,2.0,1.3038601529350904,0.2,1.5339068346385498,0.1857632338857301,5.540998895825314,0.6961398470649096,0.3745438837777542,,False
