is_late,review_score,orders,share_all
0,0,474,0.005430175277809601
0,1,5720,0.06552869744529728
0,2,2280,0.026119830450223393
0,3,6966,0.07980295566502463
0,4,17676,0.20249742238515295
0,5,54174,0.6206209187764922
1,0,165,0.021175564681724848
1,1,3528,0.4527720739219713
1,2,602,0.07725872689938398
1,3,867,0.11126796714579056
1,4,937,0.12025154004106776
1,5,1693,0.2172741273100616
