bin,lower,upper,orders,mean_prediction,observed_rate
0,0.0,0.1,14252,0.050048649385364026,0.04518664047151277
1,0.1,0.2,2885,0.13492768184438733,0.09254766031195841
2,0.2,0.3,569,0.23747052283913903,0.13005272407732865
3,0.3,0.4,108,0.33183671420526245,0.14814814814814814
4,0.4,0.5,14,0.43663386135602195,0.14285714285714285
5,0.5,0.6,1,0.5120969229803396,0.0
6,0.6,0.7,2,0.6993781159535615,1.0
7,0.7,0.8,0,,
8,0.8,0.9,0,,
9,0.9,1.0,0,,
